Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 1о Евланова НВ	Ознакомительный	6 - 11		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Б.Филевская 15) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Б.Филевская 15) (бюджет) 9ж Бельтюкова ИС	Ознакомительный	13 - 18		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Новозаводская 19) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Новозаводская 19) (бюджет) 10у Бодылев НО	Ознакомительный	13 - 18		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Новозаводская 19) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Новозаводская 19) (бюджет) 9п Познырева ММ	Ознакомительный	13 - 18		Да		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Филевский б-р 3-2) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Филевский б-р 3-2) (платно) Васильева НН	Ознакомительный	5 - 7		Нет		Групповая
Русский язык и культура речи	Глубины русского языка-2 2022-2023 4 классы (Мишин С.С. - Б.Филевская 15) (платно)	Глубины русского языка-2 2022-2023 4 классы (Мишин С.С. - Б.Филевская 15) (платно)	Ознакомительный	8 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Б.Филевская д.15) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Б.Филевская д.15) (платно) 2 и 3 кл Свешникова ЕВ	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно) Кузнецова ОС	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно) Напреенкова АА	Ознакомительный	6 - 11		Нет		Групповая
Социализация и общение	От звука к букве 2022-2023 (Шабанова ТА - Филевский б 17А) (платно)	От звука к букве 2022-2023 (Шабанова ТА - Филевский б 17А) (платно) 1гр	Ознакомительный	5 - 7		Нет		Групповая
Художественно-эстетическое и творческое развитие	Изостудия "Волшебная палитра" 2022-2023 (Федорова НС - Филевский б-р 23-2) (платно)	Изостудия "Волшебная палитра" 2022-2023 (Федорова НС - Филевский б-р 23-2) (платно) 2гр	Ознакомительный	4 - 6		Нет		Групповая
