Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Предметная область история	Исторический калейдоскоп 2022-2023 4 классы (Прусакова А.В. - Новозаводская д.19) (бюджет)	Исторический калейдоскоп 2022-2023 4 классы (Прусакова А.В. - Новозаводская д.19) (бюджет)	Ознакомительный	9 - 11		Да		Групповая
Общая биология	Мир естественных наук 2022-2023 3-4 класс (Зырянова Я.А. - Филевский б-р 13-2) (бюджет)	Мир естественных наук 2022-2023 4 класс (Зырянова Я.А. - Филевский б-р 13-2) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1Е (Нилова М.В. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 1Е (Нилова М.В. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4Л (Петрухина Н.А. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 4Л (Петрухина Н.А. - Барклая д. 15 к.3) (платно)	Ознакомительный	9 - 11		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3О (Данилина И.В. - Новозаводская 19) (платно)	Учусь учиться 2022-2023 3О (Данилина И.В. - Новозаводская 19) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Предметная область природоведения	Юные Вавиловцы 2022-2023 (Орлова О.И. - Береговой пр-д 1Б) (сад)	Юные Вавиловцы 2022-2023 (Орлова О.И. - Береговой пр-д 1Б) (сад)	Ознакомительный	5 - 7		Да		Групповая
Предметная область математики	Математические ступеньки 2022-2023 (Горященко С.В. - Филевский б-р 1-2) (сад)	Математические ступеньки 2022-2023 (Горященко С.В. - Филевский б-р 1-2) (сад)	Ознакомительный	5 - 6		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4Ж (Чернышевская Т.В. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 4Ж (Чернышевская Т.В. - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3И (Подлеснова Т.В. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 3И (Подлеснова Т.В. - Барклая д. 15 к.3) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1Э (Астрадамова И.Г. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 1Э (Астрадамова И.Г. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Физиология и анатомия	Основы медицинских знаний 2022-2023 10М (Бобков ИА - Филёвский б-р д.13 к.2) (бюджет)	Основы медицинских знаний 2022-2023 10М (Бобков ИА - Филёвский б-р д.13 к.2) (бюджет)	Ознакомительный	15 - 17		Да		Групповая
Предметная область физики	Юный физик исследователь 2022-2023 5-6 класс (Кандаева АИ - Филевсий б-р 13-2) бюджет	Юный физик исследователь 2022-2023 5-6 класс (Кандаева АИ - Филевсий б-р 13-2) бюджет	Ознакомительный	10 - 13		Да		Групповая
Предметная область математики	Математические ступеньки 2022-2023 (Новикова Л.Н., Ромашкина Р.А. - Барклая 5-5) (сад)	Математические ступеньки 2022-2023 (Новикова Л.Н., Ромашкина Р.А. - Барклая 5-5) (сад)	Ознакомительный	5 - 7		Да		Групповая
Предметная область информатика	Подготовка к олимпиадам по информатике 2022-2023 10И (Абубякирова Л.Р. - Филёвский б-р д.13 к.2) (бюджет)	Подготовка к олимпиадам по информатике 2022-2023 10И (Абубякирова Л.Р. - Филёвский б-р д.13 к.2) (бюджет)	Ознакомительный	15 - 16		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2М (Бокова Т.В. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 2М (Бокова Т.В. - Барклая д. 15 к.3) (платно)	Ознакомительный	7 - 8		Нет		Групповая
