Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Компьютерные технологии, программирование, робототехника	Робототехника VEX EDR-2 2022-2023 5-11 классы (Трушин ПС - Б.Филевская 15) (платно)	Робототехника VEX EDR-2 2022-2023 5-11 классы (Трушин ПС - Б.Филевская 15) (платно) №2	Ознакомительный	9 - 18		Нет		Групповая
Математические задачи повышенной сложности	Занимательный счет 2022-2023 2Г (Шулаева ГА - Филевский б-р 3-2) (бюджет)	Занимательный счет 2022-2023 2Г (Шулаева ГА - Филевский б-р 3-2) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Кино-видеотехника	Медиатоша 2022-2023 5-9, 10К класс (Попов ФП - Б.Филевская 15) (бюджет)	10к Медиатоша 2022-2023 10К класс (Попов ФП - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 18		Да		Групповая
Лего-конструирование и моделирование	Конструирование из ЛЕГО 2022-2023 (Хомуткина С.И. - О. Дундича 5) (платно)	Конструирование из ЛЕГО 2022-2023 (Хомуткина С.И. - О. Дундича 5) (платно)	Ознакомительный	3 - 6		Нет		Групповая
Технические устройства, приборы и механизмы	Выпиливание лобзиком 2022-2023 5-8 класс (Пензин СА - Барклая 15,3) (бюджет)	Выпиливание лобзиком 2022-2023 5-8 класс (Пензин СА - Барклая 15,3) (бюджет)	Ознакомительный	10 - 14		Да		Групповая
Компьютерные технологии, программирование, робототехника	Майнкрафт 2022-2023 2-5 классы (Симонов Д.А.- Б.Филевская 15) (платно)	Майнкрафт программирование 2022-2023 2-5 классы (Симонов Д.А. Б. Филевская д.15) (платно)	Ознакомительный	7 - 11		Нет		Групповая
Лего-конструирование и моделирование	Конструирование из ЛЕГО 2022-2023 (Новикова ЛН - Барклая 5-5) (платно)	Конструирование из ЛЕГО 2022-2023 6-7 (Новикова ЛН - Барклая 5-5) (платно) 2гр	Ознакомительный	3 - 7		Нет		Групповая
Математические задачи повышенной сложности	В мире чисел 2022-2023 2Б (Уварова А.П. - Филевский б-р 3-2) (бюджет)	Математические задачи повышенной сложности, В мире чисел 2022-2023 2Б (Уварова А.П. - Филевский б-р 3-2) (бюджет)	Ознакомительный	7 - 8		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 3Ж (Стариченко ДИ - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 3Ж (Стариченко ДИ - Б.Филевская д.15) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Математические задачи повышенной сложности	Математическая вертикаль, геометрия 2022-2023 9Е (Акимов В.М. - Б.Филевская,15) (бюджет)	Математическая вертикаль, геометрия 2022-2023 9Е (Акимов В.М. - Б.Филевская,15) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
МЧС (пожарное и спасательное дело)	Азбука безопасности 2022-2023 (Кувшинова О.С. - Физкультурный пр-д 8) (сад)	МЧС (пожарное и спасательное дело), Азбука безопасности 2022-2023 (Кувшинова О.С. - Физкультурный пр-д 8) (сад),	Ознакомительный	5 - 6		Да		Групповая
Математические задачи повышенной сложности	Решение задач повышенной сложности 2022-2023 9О (Крапивина С.В. - Новозаводская, 19) (бюджет)	Решение задач повышенной сложности 2022-2023 9О (Крапивина С.В. - Новозаводская, 19) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
Математические задачи повышенной сложности	Занимательная математика для школьников 2022-2023 3О (Данилина ИВ - Новозаводская 19) (бюджет)	Занимательная математика для школьников 2022-2023 3О (Данилина ИВ - Новозаводская 19) (бюджет)	Ознакомительный	8 - 10		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль 2022-2023 9Н (Андреева М.В. - Новозаводская, 19) (бюджет)	Математическая вертикаль 2022-2023 9Н (Андреева М.В. - Новозаводская, 19) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
Макетирование и моделирование технических объектов	Юный конструктор 2022-2023 (Федорова Н.С. Шабардина Е.Г. - Филевский б-р 23-2) (сад)	Юный конструктор 2022-2023 (Федорова Н.С. Шабардина Е.Г. - Филевский б-р 23-2) (сад)	Ознакомительный	5 - 7		Да		Групповая
