Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Волейбол	Волейбол 8+ 2022-2023 3-4 классы (Кунин ИА/Хуснутдинов ФФ - Большая Филевская,15) (платно)	Волейбол 8+ 2022-2023 3-4 классы (Хуснутдинов ФФ - Большая Филевская,15) (платно) замена Кунин ИА	Ознакомительный	8 - 10		Нет		Групповая
Футбол	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 8-2) (платно)	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 8-2) (платно) №1 3-4л	Ознакомительный	3 - 7		Нет		Групповая
Волейбол	Волейбол 2022-2023 5-9 класс (Бондаренко ЮН - Новозаводская,19) (бюджет)	5-7 кл Волейбол 2022-2023 5-9 класс (Бондаренко ЮН - Новозаводская,19) (бюджет) гр1	Ознакомительный	10 - 16		Да		Групповая
Настольный теннис	Настольный теннис 2022-2023 5-10 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	Настольный теннис 2022-2023 5-10 класс (Ситникова ЕН - Барклая 15-3) (бюджет) №5	Ознакомительный	10 - 18		Да		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 1-5 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	№1 1кл Фитнес-аэробика 2022-2023 1-4 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 1-5 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	№2 2кл Фитнес-аэробика 2022-2023 1-4 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 1-5 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	№3 3кл Фитнес-аэробика 2022-2023 1-4 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	№2 2кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	№4 4кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 (Сафонова ОВ - О.Дундича 5) (платно)	Фитнес-аэробика 2022-2023 (Сафонова ОВ - О.Дундича 5) (платно) №3 3-6 лет	Ознакомительный	3 - 6		Нет		Групповая
ОФП	Ритмика малышам 2022-2023 (Бабинцева МА - Филевский б-р,8-2) (платно)	Ритмика малышам 2022-2023 (Бабинцева МА - Филевский б-р,8-2) (платно)	Ознакомительный	3 - 5		Нет		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	№3 3кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Волейбол	Волейбол 2022-2023 7-11 класс (Теренина ЕМ - Филёвский б-р д.13 к.2) (бюджет)	7-8 кл Волейбол 2022-2023 7-11 класс (Теренина ЕМ - Филёвский б-р д.13 к.2) (бюджет) гр 1	Ознакомительный	12 - 17		Да		Групповая
Дзюдо	Дзюдо ГНП 2022-2023 1-8 класс (Кисель ИН- Барклая 15-3) (платно)	Дзюдо ГНП 2022-2023 1-8 класс (Кисель ИН- Барклая 15-3) (платно) №1	Ознакомительный	6 - 14		Нет		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 (Сафонова ОВ - Физкультурный пр-д 8) (платно)	Фитнес-аэробика 2022-2023 (Сафонова ОВ - Физкультурный пр-д 8) (платно) №2 5-6 лет	Ознакомительный	3 - 6		Нет		Групповая
Футбол	Футбол для дошкольников 3-6 лет 2022-2023 (Малиновский А. - Тучковская 5)(платно)	Футбол для дошкольников 3-6 лет 2022-2023 (Малиновский А. - Тучковская 5)(платно) №6.2 старшая	Ознакомительный	2 - 6		Нет		Групповая
